Time,IR_brachial,IR_ankle
3272,108825,103995
3277,108825,104011
3281,108817,104030
3287,108848,104049
3292,108846,104055
3297,108849,104070
3302,108795,104065
3307,108787,104060
3312,108793,104069
3317,108802,104076
3322,108825,104094
3328,108826,104050
3333,108829,104039
3337,108825,104097
3341,108850,104098
3346,108882,104118
3351,108860,104129
3356,108836,104132
3361,108801,104139
3366,108774,104143
3372,108806,104134
3377,108816,104159
3382,108833,104162
3387,108829,104147
3392,108834,104138
3397,108833,104125
3402,108869,104124
3405,108853,104126
3410,108866,104160
3416,108857,104165
3421,108832,104166
3426,108816,104159
3431,108806,104178
3436,108824,104176
3441,108853,104210
3446,108835,104210
3451,108856,104203
3457,108848,104169
3462,108869,104112
3467,108881,104153
3472,108903,104141
3476,108889,104153
3481,108834,104178
3486,108829,104170
3491,108841,104168
3496,108853,104175
3502,108879,104177
3507,108868,104168
3512,108882,104223
3517,108886,104180
3522,108897,104148
3527,108918,104131
3532,108911,104121
3535,108888,104172
3540,108861,104150
3546,108834,104166
3551,108867,104160
3556,108895,104165
3561,108882,104137
3566,108880,104185
3571,108894,104202
3576,108891,104214
3581,108909,104185
3587,108905,104158
3592,108911,104152
3597,108914,104147
3602,108861,104142
3606,108866,104188
3611,108870,104203
3616,108891,104197
3621,108916,104177
3627,108897,104179
3632,108917,104231
3636,108936,104224
3641,108955,104240
3646,108938,104165
3651,108929,104204
3656,108897,104135
3661,108891,104167
3665,108891,104205
3671,108904,104195
3676,108927,104216
3681,108923,104212
3686,108899,104215
3691,108927,104215
3696,108897,104257
3701,108922,104239
3706,108919,104278
3712,108908,104220
3717,108852,104221
3722,108863,104224
3727,108814,104204
3732,108831,104220
3735,108846,104236
3740,108847,104233
3745,108850,104238
3750,108843,104223
3756,108847,104215
3761,108836,104234
3766,108860,104258
3771,108849,104209
3776,108827,104178
3781,108780,104096
3786,108790,104088
3791,108818,104092
3795,108819,104105
3801,108807,104103
3806,108806,104089
3811,108803,104071
3816,108843,104100
3821,108804,104080
3826,108817,104049
3831,108810,104032
