Time,IR_brachial,IR_ankle
2728,109445,103815
2734,109426,103832
2739,109455,103831
2744,109432,103835
2749,109400,103852
2754,109385,103835
2759,109407,103858
2762,109427,103856
2767,109434,103880
2772,109427,103868
2778,109434,103874
2783,109447,103902
2788,109435,103896
2793,109467,103878
2798,109468,103905
2803,109423,103898
2808,109411,103899
2813,109403,103901
2818,109425,103922
2823,109451,103904
2828,109454,103924
2833,109456,103905
2838,109458,103911
2843,109490,103923
2848,109492,103916
2853,109487,103952
2859,109459,103908
2864,109413,103912
2869,109435,103907
2872,109480,103911
2877,109477,103923
2882,109484,103912
2887,109479,103916
2892,109483,103902
2897,109519,103897
2903,109511,103916
2908,109515,103906
2913,109509,103901
2918,109483,103908
2923,109479,103901
2928,109464,103924
2933,109483,103910
2937,109507,103901
2942,109504,103918
2948,109523,103899
2953,109517,103904
2958,109549,103908
2963,109561,103891
2968,109563,103926
2972,109531,103898
2977,109516,103907
2982,109496,103904
2988,109507,103908
2992,109528,103910
2997,109542,103922
3002,109536,103929
3007,109535,103916
3012,109560,103907
3017,109568,103918
3022,109557,103910
3027,109600,103915
3033,109570,103900
3038,109542,103917
3043,109513,103934
3048,109542,103931
3052,109562,103919
3056,109561,103927
3061,109566,103930
3066,109577,103918
3072,109574,103925
3077,109604,103948
3082,109606,103933
3087,109614,103934
3092,109599,103944
3097,109568,103947
3102,109546,103934
3107,109578,103949
3111,109572,103937
3117,109594,103960
3122,109603,103968
3127,109597,103968
3132,109595,103966
3137,109622,103970
3142,109606,103947
3147,109625,103971
3152,109584,103974
3158,109572,104001
3163,109529,103993
3168,109564,104013
3171,109556,103990
3176,109553,103988
3181,109579,103986
3186,109551,103992
3191,109548,103990
3196,109573,104002
3202,109574,103999
3207,109552,104007
3212,109525,103995
3217,109485,103972
3222,109486,103977
3227,109495,103945
3231,109499,103938
3236,109503,103910
3241,109515,103886
3247,109511,103866
3252,109517,103852
3257,109523,103870
3262,109515,103834
3267,109481,103805
3272,109487,103796
3277,109442,103787
3282,109467,103779
3286,109487,103762
3291,109476,103738
3296,109496,103728
3301,109496,103725
3306,109483,103729
3311,109505,103703
3316,109507,103696
3321,109493,103706
3326,109459,103696
3332,109469,103689
3337,109427,103692
3342,109449,103678
3347,109471,103650
3351,109456,103667
3356,109483,103687
3361,109458,103671
3366,109478,103674
3372,109495,103684
3377,109503,103689
3382,109488,103677
3386,109443,103704
3391,109438,103690
3396,109442,103685
3401,109458,103644
3406,109474,103678
3411,109486,103703
3416,109484,103681
3421,109469,103714
3426,109506,103701
3431,109500,103728
3436,109527,103736
3441,109489,103736
3446,109459,103747
3451,109440,103771
3457,109448,103757
3462,109464,103736
3467,109476,103744
3472,109480,103736
3477,109478,103761
3480,109479,103773
3485,109499,103783
3490,109496,103835
3495,109506,103804
3501,109503,103842
3506,109462,103819
3511,109469,103833
3516,109449,103849
3521,109476,103826
3526,109483,103820
3531,109493,103833
3536,109498,103806
3542,109478,103825
3546,109504,103849
3551,109520,103862
3556,109535,103851
3561,109506,103854
3566,109476,103856
3571,109469,103859
3576,109478,103848
3581,109477,103881
3587,109487,103872
3592,109490,103827
3597,109504,103825
3602,109494,103833
3605,109538,103853
3610,109529,103853
3615,109508,103849
3620,109491,103853
3625,109484,103899
3631,109472,103849
3636,109485,103853
3641,109499,103874
3646,109522,103828
3651,109517,103855
3656,109520,103826
3661,109534,103807
3666,109536,103814
3671,109552,103836
3676,109538,103859
3681,109500,103857
3686,109471,103840
3691,109499,103846
3696,109525,103890
3701,109523,103874
3706,109526,103913
3712,109536,103843
3717,109576,103821
3722,109557,103829
3727,109578,103823
3730,109549,103864
3735,109526,103840
3740,109516,103875
3745,109517,103873
3750,109559,103861
3756,109555,103887
3761,109560,103913
3766,109541,103916
3771,109551,103897
3776,109586,103883
3781,109572,103858
3786,109586,103830
3791,109539,103884
3795,109540,103864
3801,109502,103881
3806,109538,103888
3811,109566,103885
3816,109572,103891
3821,109566,103906
3825,109572,103932
3830,109579,103931
3835,109598,103898
3841,109620,103882
3846,109567,103866
3851,109549,103891
3855,109532,103907
3860,109562,103895
3865,109581,103909
3870,109591,103937
3875,109580,103939
3880,109572,103931
3886,109578,103940
3891,109597,103931
3896,109624,103938
3901,109599,103926
3906,109589,103920
3911,109557,103905
3916,109521,103927
3919,109539,103939
3924,109540,103967
3930,109539,103949
3935,109548,103943
3940,109542,103971
3945,109544,103980
3950,109550,103956
3955,109576,103989
3960,109539,103953
3965,109495,103911
3971,109501,103948
3976,109450,103913
3981,109472,103939
3985,109496,103927
3990,109494,103903
3995,109491,103888
4000,109477,103865
4005,109494,103853
4011,109484,103881
4016,109509,103861
4021,109496,103817
4026,109452,103809
4031,109421,103747
4036,109423,103725
4041,109449,103725
4044,109455,103723
4049,109458,103721
4055,109452,103701
4060,109455,103697
4065,109466,103684
4070,109470,103679
4075,109475,103724
4080,109450,103690
4085,109435,103690
4090,109399,103619
4096,109397,103647
4101,109413,103586
4106,109427,103617
4110,109433,103622
4115,109424,103660
4120,109466,103652
4125,109445,103650
4130,109467,103649
4135,109455,103650
4141,109408,103683
4146,109401,103688
4151,109410,103657
4156,109417,103649
4161,109422,103632
4166,109437,103631
4169,109435,103663
4174,109435,103664
4179,109455,103668
4185,109480,103679
4190,109473,103698
4195,109417,103704
4200,109391,103692
4205,109402,103729
4210,109426,103723
4215,109432,103712
4220,109446,103704
4226,109452,103690
4231,109441,103730
4235,109438,103756
4240,109456,103746
4245,109471,103769
4250,109465,103757
4255,109423,103764
4260,109421,103790
4265,109437,103816
4271,109435,103824
4276,109448,103789
4281,109446,103751
4285,109442,103760
4290,109448,103773
4294,109462,103802
4299,109482,103814
4304,109471,103822
4310,109434,103827
4315,109401,103835
4320,109436,103841
4325,109448,103860
4330,109464,103837
4335,109452,103852
4340,109463,103798
4345,109452,103827
4350,109462,103790
4356,109468,103803
4360,109468,103814
4365,109442,103822
4370,109452,103833
4375,109438,103824
4379,109439,103832
4384,109461,103860
4389,109471,103865
4395,109482,103832
4400,109474,103789
4405,109472,103768
4410,109493,103799
4414,109497,103814
4419,109460,103830
4424,109440,103821
4429,109466,103815
4434,109470,103833
4440,109496,103810
4445,109491,103841
4450,109499,103819
4455,109493,103820
4460,109498,103835
4465,109509,103799
